station_id,station_lat,station_lon,station_type,observation_time,forecast_issue_time,forecast_valid_time,lead_time_hours,observed_temperature_c,gfs_temperature_c,station_elevation_m,gfs_reference_elevation_m,elevation_difference_m,observation_qc,forecast_cycle,forecast_hour,gfs_grid_lat,gfs_grid_lon,forecast_source,forecast_file
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-04T12:00:00,2023-01-03T12:00:00,2023-01-04T12:00:00,24,26.8,27.16,558.0,677.98,-119.98,1,12z,24,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230103_12_024_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-04T12:00:00,2023-01-03T12:00:00,2023-01-04T12:00:00,24,27.0,24.86,11.27,0.86,10.41,1,12z,24,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230103_12_024_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-05T00:00:00,2023-01-03T12:00:00,2023-01-05T00:00:00,36,16.4,18.11,558.0,677.98,-119.98,1,12z,36,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230103_12_036_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-05T00:00:00,2023-01-03T12:00:00,2023-01-05T00:00:00,36,24.0,24.75,11.27,0.86,10.41,1,12z,36,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230103_12_036_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-04T12:00:00,2023-01-04T00:00:00,2023-01-04T12:00:00,12,26.8,26.53,558.0,677.98,-119.98,1,00z,12,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230104_00_012_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-04T12:00:00,2023-01-04T00:00:00,2023-01-04T12:00:00,12,27.0,24.48,11.27,0.86,10.41,1,00z,12,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230104_00_012_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-05T00:00:00,2023-01-04T00:00:00,2023-01-05T00:00:00,24,16.4,17.52,558.0,677.98,-119.98,1,00z,24,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230104_00_024_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-05T00:00:00,2023-01-04T00:00:00,2023-01-05T00:00:00,24,24.0,24.47,11.27,0.86,10.41,1,00z,24,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230104_00_024_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-05T12:00:00,2023-01-04T00:00:00,2023-01-05T12:00:00,36,27.0,27.52,558.0,677.98,-119.98,1,00z,36,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230104_00_036_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-05T12:00:00,2023-01-04T00:00:00,2023-01-05T12:00:00,36,28.0,25.21,11.27,0.86,10.41,1,00z,36,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230104_00_036_subset.grib2
